particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
             Housing and Land Use Regulatory Board,254150,192884,178076,0,0,2011,188,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
             Housing and Urban Development Coordinating Council,105882,98612,113733,0,0,2011,189,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      Home Guaranty Corporation,200000,600000,500000,0,0,2011,190,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      National Home Mortgage Finance Corporation,0,900000,500000,0,0,2011,191,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      National Housing Authority,5059860,3600000,4375000,0,0,2011,192,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      Home Development Mutual Fund,1697001,0,0,0,0,2011,193,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      National Livelihood Development Corporation,1084150,0,0,0,0,2011,194,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,195,0,SOCIAL SERVICES,Housing and Community Development,,,,,,2
             Land Bank of the Philippines,1286497,1278907,3966110,0,0,2011,196,0,SOCIAL SERVICES,Land Distribution,,,,,,2
             National Commission on Indigenous Peoples,675862,657675,691127,0,0,2011,197,0,SOCIAL SERVICES,Other Social Services,,,,,,2
             National Youth Commission,63423,0,0,0,0,2011,198,0,SOCIAL SERVICES,Other Social Services,,,,,,2
             National Commission on Muslim Filipinos (Office on Muslim Affairs),339618,309421,369977,0,0,2011,199,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Commission on Human Rights,279566,301915,285466,0,0,2011,200,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Miscellaneous Personnel Benefits Fund,0,222502,215103,0,0,2011,201,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Priority Development Assistance Fund,0,10861,24820,0,0,2011,202,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Kalayaan Barangay Program Fund,0,330000,0,0,0,2011,203,0,SOCIAL SERVICES,Other Social Services,,,,,,2
      Kilos Asenso Support Fund,490114,330000,0,0,0,2011,204,0,SOCIAL SERVICES,Other Social Services,,,,,,2
