cities,position,name,nickname,party_affiliation,votes_obtained
Badian,Vice-Mayor,"Suezo, Rosemarie Gerona",Rose,Lakas-Christian Muslim Democrats,18881
Badian,Councilor,"Jusay, Flora Go",Flor,Lakas-Christian Muslim Democrats,13340
Badian,Councilor,"Edillon, Nicolas Jr. Yap",Dong Kulas,Lakas-Kabalikat ng Malayang Pilipino,13282
Badian,Councilor,"Laurel, Ray Matthew Allego",Dong Rey,Lakas-Christian Muslim Democrats,12608
Badian,Councilor,"Evales, Antonia Peligro",Dayang,Lakas-Christian Muslim Democrats,11194
Badian,Councilor,"Pausanon, Ricaredo Allego",Boy,Lakas-Christian Muslim Democrats,11067
Badian,Councilor,"Tabotabo, Marie Segarra",Marie,Lakas-Christian Muslim Democrats,10845
Badian,Councilor,"Potencioso, Sesinando Jr. Flores",Andot,Lakas-Christian Muslim Democrats,13387
Badian,Councilor,"Celeste, Edwin Saldivar",Win,Lakas-Kabalikat ng Malayang Pilipino,6461
Badian,Councilor,"Alcoseba, Adolfo Sr. Sanchez",Doly,Lakas-Kabalikat ng Malayang Pilipino,7067
Badian,Councilor,"Silvano, Nicanor Saranillo",Nicky,Lakas-Kabalikat ng Malayang Pilipino,7716
Badian,Councilor,"Villarin, Elvin Aninon",Vin,Lakas-Kabalikat ng Malayang Pilipino,8013
Badian,Councilor,"Belarmino, Genaro Librando",Naro,Lakas-Kabalikat ng Malayang Pilipino,8295
Badian,Councilor,"Lapaz, Jose Cuevas",Joe,Lakas-Kabalikat ng Malayang Pilipino,8367
Badian,Councilor,"Pableo, Paris Danosos",Paris,Lakas-Kabalikat ng Malayang Pilipino,8383
Badian,Councilor,"Librando, Vivian Visitacion",Vivian,Lakas-Kabalikat ng Malayang Pilipino,8439
Badian,Councilor,"Delute, Reymelio Mabayan",Dodong,Lakas-Christian Muslim Democrats,10113
Balamban,Mayor,"Arquillano, Alfredo Jr. Aranas",Al,Barog Alang sa Kauswagan ug Demokrasya,10863
Balamban,Mayor,"Binghay, Alex Sanchez",Alex,Lakas-Kabalikat ng Malayang Pilipino,23170
Balamban,Vice-Mayor,"Binghay, Ace Stefan Veloso",Ace,Lakas-Kabalikat ng Malayang Pilipino,21226
Balamban,Vice-Mayor,"Arquillano, Allan Aranas",Lan,Barog Alang sa Kauswagan ug Demokrasya,9981
Balamban,Councilor,"Karamihan, Dave John Binghay",Dave,Lakas-Kabalikat ng Malayang Pilipino,17607
