region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
VI (Western Visayas),Roxas,PALEX,62,56,60,60,62,60,62,0,0,0,0,0,422,-
VI (Western Visayas),Roxas,Cebu Pacific,62,56,62,60,62,60,64,0,0,0,0,0,426,-
VI (Western Visayas),Roxas,G. Aviation,50,74,30,92,82,60,28,0,0,0,0,0,416,-
VI (Western Visayas),Roxas,Military,0,22,0,32,2,0,0,0,0,0,0,0,56,-
VII (Central Visayas),Dumaguete,Air Philippines,120,62,60,112,118,108,64,112,0,0,0,0,756,-
VII (Central Visayas),Dumaguete,PAL,0,64,62,0,0,0,50,0,0,0,0,0,176,-
VII (Central Visayas),Dumaguete,Cebu Pacific,232,182,182,178,188,172,178,196,0,0,0,0,1508,-
VII (Central Visayas),Dumaguete,G. Aviation,84,80,98,158,134,170,180,256,0,0,0,0,1160,-
VII (Central Visayas),Dumaguete,Military,0,10,18,44,2,14,6,4,0,0,0,0,98,-
VII (Central Visayas),Mactan,International,2048,1388,1920,1852,0,0,0,0,0,0,0,0,7208,-
VII (Central Visayas),Mactan,Domestic,9530,8256,9068,8764,0,0,0,0,0,0,0,0,35618,-
VII (Central Visayas),Mactan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VII (Central Visayas),Mactan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VII (Central Visayas),Siquijor,G. Aviation,30,20,48,18,16,18,0,0,0,0,0,0,150,-
VII (Central Visayas),Tagbilaran,PAL,232,198,234,240,248,210,186,0,0,0,0,0,1548,-
VII (Central Visayas),Tagbilaran,Cebu Pacific,62,54,92,102,108,60,62,0,0,0,0,0,540,-
VII (Central Visayas),Tagbilaran,Air Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VII (Central Visayas),Tagbilaran,Zest Air,166,110,178,180,144,116,122,0,0,0,0,0,1016,-
VII (Central Visayas),Tagbilaran,G. Aviation,50,36,44,86,98,82,104,0,0,0,0,0,500,-
VII (Central Visayas),Tagbilaran,Mid Sea Express,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VII (Central Visayas),Tagbilaran,Military,6,10,0,0,10,4,0,0,0,0,0,0,30,-
VII (Central Visayas),Ubay,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
VII (Central Visayas),Bantayan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Biliran,G. Aviation,no report submitted,-,0,0,0,0,0,0,0,0,0,0,0,-
VIII (Eastern Visayas),Borongan,G. Aviation,no landing and take-off,-,-,0,0,0,0,0,0,0,0,0,0,-
