region,private_hei,bacc,ms_or_ma,phd,total
XI (Davao Region),Fabie School of Midwifery,8,1,0,9
XI (Davao Region),Ford Academy of the Arts,11,0,0,11
XI (Davao Region),General Baptist Bible College,6,3,0,9
XI (Davao Region),Holy Cross College of Calinan,17,15,4,36
XI (Davao Region),Holy Cross of Bansalan College,20,15,3,38
XI (Davao Region),Holy Cross of Davao College,147,186,34,367
XI (Davao Region),Liceo De Davao,1,9,5,15
XI (Davao Region),Mati Polytechnic College,17,5,0,22
XI (Davao Region),MATS College of Technology,103,11,3,117
XI (Davao Region),Mindanao Medical Foundation College,29,8,1,38
XI (Davao Region),North Davao College-Tagum Foundation,8,9,0,17
XI (Davao Region),North Davao Colleges-Panabo,11,10,1,22
XI (Davao Region),Philippine Women's College of Davao,29,33,2,64
XI (Davao Region),Polytechnic College of Davao del Sur,34,17,7,58
XI (Davao Region),Queen of Apostles College Seminary,6,13,1,20
XI (Davao Region),Rizal Memorial Colleges,25,27,10,62
XI (Davao Region),St. Francis Xavier College Seminary,4,7,6,17
XI (Davao Region),St. Mary's College of Tagum,53,45,2,100
XI (Davao Region),St. Peter's College of Toril,15,43,10,68
