particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads",Concreting Of SIV to Palnab del Sur BR (Phase II),Concreting Of SIV to Palnab del Sur BR (Phase II),300-11,500000,-,-,500000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of San Juan to District 2 BR, San Miguel","Concreting Of San Juan to District 2 BR, San Miguel",300-12,500000,-,-,500000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Oguis - Tilis Road, Bato","Concreting Of Oguis - Tilis Road, Bato",300-13,200000,-,-,200000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Comagaycay Rd, SA","Concreting Of Comagaycay Rd, SA",300-14,200000,-,-,200000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Pagsangahan BR, San Miguel","Concreting Of Pagsangahan BR, San Miguel",300-15,300000,-,-,300000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR P. Arcilla St., Rawis, VRC","Concreting Of BR P. Arcilla St., Rawis, VRC",300-16,400000,400000,389332.54,10667.46,10667.46,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR, JMA Poniton, VRC","Concreting Of BR, JMA Poniton, VRC",300-17,200000,-,-,200000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR, Sogod Simamla, VRC","Concreting Of BR, Sogod Simamla, VRC",300-18,300000,-,-,300000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR, Gogon Centro, VRC","Concreting Of BR, Gogon Centro, VRC",300-19,500000,500000,-,500000,500000,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Upgrading Of BR, Palnab del Sur (Sabang), VRC","Upgrading Of BR, Palnab del Sur (Sabang), VRC",300-20,300000,-,-,300000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Ibong Sapa Pathway, VRC","Concreting Of Ibong Sapa Pathway, VRC",300-21,77344.88,-,-,77344.88,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Batalay PR, Bato","Rehabilitation Of Batalay PR, Bato",300-22,500000,-,-,500000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Salvacion PR, Bagamanoc","Rehabilitation Of Salvacion PR, Bagamanoc",300-23,400000,400000,384933.89,15066.11,15066.11,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Pajo Baguio PR, VRC","Concreting Of Pajo Baguio PR, VRC",300-24,400000,-,-,400000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Pajo San Isidro PR, VRC","Concreting Of Pajo San Isidro PR, VRC",300-25,400000,-,-,400000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Antipolo del Norte PR, VRC","Concreting Of Antipolo del Norte PR, VRC",300-26,400000,-,-,400000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Antipolo del Sur PR, VRC","Concreting Of Antipolo del Sur PR, VRC",300-27,400000,-,-,400000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Igang PR, VRC","Concreting Of Igang PR, VRC",-300-29g,800000,800000,6894.67,793105.33,793105.33,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Talisoy PR, VRC","Concreting Of Talisoy PR, VRC",-300-29h,400000,-,-,400000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Upgrading Of Roads and Bridges, Provincewide","Upgrading Of Roads and Bridges, Provincewide",-300-29k,3000000,1300000,214946,2785054,1085054,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Bonifacio St., Sta. Teresa, Bagamanoc","Rehabilitation Of Bonifacio St., Sta. Teresa, Bagamanoc",-300-29n,500000,-,-,500000,-,
August 20% Development Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Datag-Maui FTMR, Caramoran","Rehabilitation Of Datag-Maui FTMR, Caramoran",-300-29m,500000,-,-,500000,-,
August 20% Development Fund 2012,Economic Sector,"Bridges, Spillways and Culverts","Construction Of Osmeña Box Culvert to Pinatawan Creek, Viga","Construction Of Osmeña Box Culvert to Pinatawan Creek, Viga",-300-30a,500000,500000,483991.24,16008.76,16008.76,
August 20% Development Fund 2012,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation Of Batalay Bridge Approach, Bato","Rehabilitation Of Batalay Bridge Approach, Bato",-300-30c,300000,-,-,300000,-,
August 20% Development Fund 2012,Economic Sector,Erosion and Flood Control Projects,"Construction Of San Pedro-San Roque Drainage System, Virac","Construction Of San Pedro-San Roque Drainage System, Virac",-300-28d,500000,500000,15500,484500,484500,
August 20% Development Fund 2012,Economic Sector,Erosion and Flood Control Projects,"Construction Of Sto Niño-Bliss Drainage System, Virac","Construction Of Sto Niño-Bliss Drainage System, Virac",-300-28j,750000,-,-,750000,-,
August 20% Development Fund 2012,Economic Sector,Others,"Rehabilitation Of Old Capitol Bldg, Phase III (Museum Center)","Rehabilitation Of Old Capitol Bldg, Phase III (Museum Center)",-300-29a,1500000,1500000,1479503.34,20496.66,20496.66,
August 20% Development Fund 2012,Economic Sector,Others,Rehabilitation Of Virac Fountain (Historical Landmark),Rehabilitation Of Virac Fountain (Historical Landmark),200-34,150000,150000,510.03,149489.97,149489.97,
August 20% Development Fund 2012,Economic Sector,Others,"Completion Of Tramline-Access Transport Fac. for Farmers, Bato","Completion Of Tramline-Access Transport Fac. for Farmers, Bato",-300-29b,1000000,1000000,-,1000000,1000000,
August 20% Development Fund 2012,Economic Sector,Others,"Construction Of Provl Multi-Purpose Bldg. (PAFC), Phase VI","Construction Of Provl Multi-Purpose Bldg. (PAFC), Phase VI",-300-29d,1000000,1000000,9698.4,990301.6,990301.6,
August 20% Development Fund 2012,Economic Sector,Sustainable Environment Program,Improvement of Materials Recovery Facility (MRF),Improvement of Materials Recovery Facility (MRF),300-29e-1,214388,160791,56683,157705,104108,
August 20% Development Fund 2012,Economic Sector,Sustainable Environment Program,Establishment of Community Nurseries,Establishment of Community Nurseries,300-29e-2,335612,251709,81586,254026,170123,
August 20% Development Fund 2012,Economic Sector,Sustainable Environment Program,Establishment of Community Nurseries,Environmental Sanitation Program,-300-29g,300000,225000,-,300000,225000,
August 20% Development Fund 2012,Economic Sector,Sustainable Environment Program,Establishment of Community Nurseries,Debt Amortization,-300-29f,11200000,8400000,7367182.86,3832817.14,1032817.14,
August 20% Development Fund 2012,General Public Services Sector,General Public Services Sector,"Embankment Of Passenger Terminal Site, Viga (CF)","Embankment Of Passenger Terminal Site, Viga (CF)",-300-31a,1000000,-,-,1000000,-,
August 20% Development Fund 2012,General Public Services Sector,General Public Services Sector,"Construction Of PanganibanTerminal, Phase II (Counterpart)","Construction Of PanganibanTerminal, Phase II (Counterpart)",-300-31b,500000,-,-,500000,-,
August 20% Development Fund 2012,General Public Services Sector,General Public Services Sector,Construction Of Youth Center Mall (Phase III),Construction Of Youth Center Mall (Phase III),-300-31f,14500000,14500000,14367841.57,132158.43,132158.43,
August 20% Development Fund 2012,General Public Services Sector,General Public Services Sector,Construction Of Youth Center Mall (Phase IV),Construction Of Youth Center Mall (Phase IV),300-32,6000000,6000000,-,6000000,6000000,
August 20% Development Fund 2012,General Public Services Sector,General Public Services Sector,Construction Of Youth Center Mall (Phase V),Construction Of Youth Center Mall (Phase V),200-35,17613000,17613000,14073.88,17598926.12,17598926.12,
August 20% Development Fund 2012,General Public Services Sector,General Public Services Sector,Rehabilitation Of Dome and Other Facilities,Rehabilitation Of Dome and Other Facilities,300-31g,300000,300000,1759.08,298240.92,298240.92,
August 20% Development Fund 2012,Total - August 2012,Total - August 2012,Total - August 2012,Total - August 2012,-,86540344.88,70450500,36644963.42,49895381.46,33805536.58,
August 20% Continuing 2011,Social Sector,Social Sector,PDPFP Update and Data Research Project,PDPFP Update and Data Research Project,8919-200-1,13219.27,13219.27,11540,1679.27,1679.27,
August 20% Continuing 2011,Social Sector,Social Sector,Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),-300-2a,600000,600000,589985,10015,10015,
August 20% Continuing 2011,Social Sector,Social Sector,"Construction, Alma E or S Stage, San Miguel","Construction, Alma E or S Stage, San Miguel",-300-2d,293921.34,293921.34,293500.98,420.36,420.36,
August 20% Continuing 2011,Social Sector,Social Sector,"Rehabilitation of One (1) CL S or B, Bagawang, Pandan","Rehabilitation of One (1) CL S or B, Bagawang, Pandan",-300-2e,341540.53,341540.53,340867.29,673.24,673.24,
August 20% Continuing 2011,Social Sector,Water System,"Construction, Canlubi Water System (Reservoir), Pandan","Construction, Canlubi Water System (Reservoir), Pandan",-300-3a,290351.44,290351.44,290207.51,143.93,143.93,
August 20% Continuing 2011,Social Sector,Water System,"Construction, Katipunan Water Tank, San Miguel","Construction, Katipunan Water Tank, San Miguel",-300-3b,242919.14,242919.14,241438.25,1480.89,1480.89,
August 20% Continuing 2011,Social Sector,Water System,"Construction, District I Water Tank, San Miguel","Construction, District I Water Tank, San Miguel",-300-3c,250000,250000,-,250000,250000,
August 20% Continuing 2011,Social Sector,Water System,"Construction, Lictin Water Tank, San Andres","Construction, Lictin Water Tank, San Andres",-300-3d,141784.5,141784.5,140698.97,1085.53,1085.53,
August 20% Continuing 2011,Social Sector,Water System,"Construction, Calampong Water Tank, Virac","Construction, Calampong Water Tank, Virac",-300-3e,291034.01,291034.01,291034.01,-,-,
August 20% Continuing 2011,Social Sector,Others,Rehabilitation of Sogod Simamla Day Care Center,Rehabilitation of Sogod Simamla Day Care Center,-300-4a,145548.42,145548.42,145293.75,254.67,254.67,
August 20% Continuing 2011,Social Sector,Others,"Concreting, Tokyo Plaza, Pandan","Concreting, Tokyo Plaza, Pandan",-300-4e,830474.62,830474.62,-,830474.62,830474.62,
August 20% Continuing 2011,Social Sector,Others,"Levelling, Tokyo Plaza, Pandan, Phase II","Levelling, Tokyo Plaza, Pandan, Phase II",-300-4f,1595801,1595801,1463892.35,131908.65,131908.65,
August 20% Continuing 2011,Social Sector,Others,"Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I","Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I",-300-4h,494290.59,494290.59,492277.5,2013.09,2013.09,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening, Bislig Brgy Road, San Andres","Road Opening, Bislig Brgy Road, San Andres",300-5b,146504.9,146504.9,145890.91,613.99,613.99,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening Of Balangonan-Sitio Kagnipa FMR, Pandan","Road Opening Of Balangonan-Sitio Kagnipa FMR, Pandan",-300-5c,-,-,-,-,-,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Construction, Sogod Tibgao Brgy. Road, Virac","Construction, Sogod Tibgao Brgy. Road, Virac",-300-5d,289427.56,289427.56,287791.5,1636.06,1636.06,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Sto. Cristo St., Calatagan Proper, Virac","Concreting Of Sto. Cristo St., Calatagan Proper, Virac",-300-5h,388371.23,388371.23,386999.5,1371.73,1371.73,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Francia Brgy. Road, Virac","Concreting Of Francia Brgy. Road, Virac",-300-5i,174395,174395,170622,3773,3773,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Cabihian Brgy. Road, Virac","Concreting Of Cabihian Brgy. Road, Virac",-300-5j,194889.11,194889.11,182746.65,12142.46,12142.46,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Sta. Elena Road Shouldering, Virac","Concreting Of Sta. Elena Road Shouldering, Virac",-300-5n,80000,80000,78468.2,1531.8,1531.8,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Hicming Brgy. Road, Virac","Concreting Of Hicming Brgy. Road, Virac",-300-5o,289427.56,289427.56,288251.8,1175.76,1175.76,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga",-300-5p,-,-,-,-,-,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Concreting, District II Brgy. Road, San Miguel","Rehabilitation or Concreting, District II Brgy. Road, San Miguel",-300-5q,973289.2,973289.2,973209.2,80,80,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto",-300-5r,-,-,-,-,-,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Esperanza Concrete Pavement, San Andres","Rehabilitation Of Esperanza Concrete Pavement, San Andres",-300-5s,243101.05,243101.05,243101.05,-,-,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac",-300-5t,970934.5,970934.5,970934.5,-,-,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Restoration, Prov'l Roads and Bridges","Rehabilitation or Restoration, Prov'l Roads and Bridges",-300-5v,753491.87,753491.87,704661.2,48830.67,48830.67,
August 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Riprapping, San Roque Brgy. Road, Bato","Riprapping, San Roque Brgy. Road, Bato",-300-5w,497880,497880,484734.14,13145.86,13145.86,
August 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation, Gogon Bridge Approach","Rehabilitation, Gogon Bridge Approach",-300-6a,250000,250000,-,250000,250000,
August 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, Batong Paloway Spillway, San Andres","Construction, Batong Paloway Spillway, San Andres",-300-6b,2911945.24,2911945.24,2080,2909865.24,2909865.24,
August 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel",-300-6d,376417.42,376417.42,376417.42,-,-,
August 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Bislig Seawall, San Andres","Construction, Bislig Seawall, San Andres",-300-7a,481846.8,481846.8,479218.05,2628.75,2628.75,
August 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Cabcab Seawall, San Andres","Construction, Cabcab Seawall, San Andres",-300-7c,469432.04,469432.04,469432.04,-,-,
August 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation Of SACES Drainage System, Phase II, SA","Rehabilitation Of SACES Drainage System, Phase II, SA",-300-7f,-,-,-,-,-,
August 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation Of Dugui Wala, San Vicente River Control, Virac","Rehabilitation Of Dugui Wala, San Vicente River Control, Virac",-300-7h,194112.8,194112.8,193203.39,909.41,909.41,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.","Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.",300-10,-,-,-,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation, Youth Center","Renovation, Youth Center",300-12,484930.73,484930.73,335674.65,149256.08,149256.08,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,300-13,344309.5,344309.5,-,344309.5,344309.5,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Rehabilitation of Municipal Mayor's Office, Caramoran","Rehabilitation of Municipal Mayor's Office, Caramoran",300-15,293030.14,293030.14,292300.79,729.35,729.35,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Freshwater Mineral Resources Mgt and Regulation,Freshwater Mineral Resources Mgt and Regulation,-200-16a,85381,85381,-,85381,85381,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),-200-16b,23003,23003,-,23003,23003,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment Of Marine Protected Area (MPA),Establishment Of Marine Protected Area (MPA),-200-16c,18260,18260,-,18260,18260,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),-300-17a,98540.85,98540.85,15120,83420.85,83420.85,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,-200-17b,45763.67,45763.67,41580,4183.67,4183.67,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction Of Orthopedic Building, PHO","Construction Of Orthopedic Building, PHO",-300-18a,1000000,1000000,-,1000000,1000000,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction Of Mayngaway Water Tank, San Andres","Construction Of Mayngaway Water Tank, San Andres",300-20,188208.9,188208.9,188208.9,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Purot Stage (Kiosk), Pandan","Construction of Purot Stage (Kiosk), Pandan",8919-300-21,250000,250000,2676.3,247323.7,247323.7,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Bagumbayan Brgy. Hall, Panganiban","Bagumbayan Brgy. Hall, Panganiban",300-22,121504,121504,121406.2,97.8,97.8,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Manambrag Brgy. Road, San Andres","Concreting Manambrag Brgy. Road, San Andres",300-23,160,160,160,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Codon Brgy Road, San Andres","Concreting Codon Brgy Road, San Andres",300-24,-,-,-,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Marilima Brgy. Road, Virac","Concreting Marilima Brgy. Road, Virac",300-25,-,-,-,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Tramline,Tramline,-200-29b,200935.69,200935.69,-,200935.69,200935.69,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Transformer - Capitol,Transformer - Capitol,200-30,240000,240000,-,240000,240000,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Rehabilitation Of Quality Control Laboratory Bldg., PEO","Rehabilitation Of Quality Control Laboratory Bldg., PEO",300-32,384420.1,384420.1,384028,392.1,392.1,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction Of San Andres Covered Court,Construction Of San Andres Covered Court,300-33,-,-,-,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Provincial Counterpart Fund for Health,Provincial Counterpart Fund for Health,200-34,230408.75,230408.75,210000,20408.75,20408.75,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Other Social Health Programs,Other Social Health Programs,-,106841,106841,61766,45075,45075,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Provincial Capitol Compound Offices,Provincial Capitol Compound Offices,-,766487,766487,743131.21,23355.79,23355.79,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment Of Social Amelioration Center,Establishment Of Social Amelioration Center,-,158331.16,158331.16,11163.2,147167.96,147167.96,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Other Environmental Mgt. Programs and Projects,Other Environmental Mgt. Programs and Projects,-,188631.21,188631.21,105335.91,83295.3,83295.3,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Abaca Rehabilitation Project,Abaca Rehabilitation Project,8911-200-1c,107545,107545,-,107545,107545,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Farm Mechanization (4 Tractors),Farm Mechanization (4 Tractors),-300-1i,240000,240000,193500,46500,46500,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Crab Grow-Out Sites,Crab Grow-Out Sites,-200-2b,35086.27,35086.27,8316,26770.27,26770.27,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Tilapia Hatchery,Tilapia Hatchery,-200-2c,23111,23111,12672,10439,10439,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Panganiban Demo Fishpond,Panganiban Demo Fishpond,-200-2d,62544.31,62544.31,25344,37200.31,37200.31,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction Of Fish Pen,Construction Of Fish Pen,200-2e ,21288.4,21288.4,12672,8616.4,8616.4,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Rehabilitation or Improvement Of Tourism Info. Center,Rehabilitation or Improvement Of Tourism Info. Center,8912-200-2,64950.8,64950.8,23900,41050.8,41050.8,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Road Opening, FMR, Guinsaanan, Baras","Road Opening, FMR, Guinsaanan, Baras",8919-200-88,100000,100000,-,100000,100000,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Purchase Of Post Harvest Facilities,Purchase Of Post Harvest Facilities,-200-92p,253788,253788,219200,34588,34588,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Repair Of Irrigation System,Repair Of Irrigation System,-200-92q,96176.9,96176.9,-,96176.9,96176.9,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Expansion Of Dialysis Center,Expansion Of Dialysis Center,-200-94a,500000,500000,1291.68,498708.32,498708.32,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Prov'l Housing Project,Prov'l Housing Project,-200-94b,1500000,1500000,219519.5,1280480.5,1280480.5,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Repair Of Bugao Elem. Sch., Phase II","Repair Of Bugao Elem. Sch., Phase II",-200-94c,255871.88,255871.88,255871.88,-,-,
August 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Improvement Of MRF-Capitol Compound,Improvement Of MRF-Capitol Compound,-200-94d,11143,11143,7501.24,3641.76,3641.76,
August 20% Continuing 2011,Total - August 2011 Continuing,Total - August 2011 Continuing,Total - August 2011 Continuing,Total - August 2011 Continuing,-,23717003.4,23717003.4,14230836.62,9486166.78,9486166.78,
September 20% Development Economic Fund 2012,Social Sector,Upgrading of Health Facilities,Improvement of JMA District Hosp. (Phase II),Improvement of JMA District Hosp. (Phase II),8919-300-1a,1300000,1300000,28122.26,1271877.74,1271877.74,
September 20% Development Economic Fund 2012,Social Sector,Upgrading of Health Facilities,"Renovation of Technical Section, PHO Compd (Phase II)","Renovation of Technical Section, PHO Compd (Phase II)",-300-1b,850000,850000,813486.16,36513.84,36513.84,
September 20% Development Economic Fund 2012,Social Sector,Upgrading of Health Facilities,Medical Equipment,Medical Equipment,-300-1d,250000,250000,-,250000,250000,
September 20% Development Economic Fund 2012,Social Sector,Water System,"Construction of District I Water Tank, San Miguel (Counterpart Fnd)","Construction of District I Water Tank, San Miguel (Counterpart Fnd)",-300-3a,1000000,1000000,7854.64,992145.36,992145.36,
September 20% Development Economic Fund 2012,Social Sector,Others,"Improvement of Porot Brgy Plaza, Pandan (Counterpart Fund)","Improvement of Porot Brgy Plaza, Pandan (Counterpart Fund)",-300-4a,130000,130000,-,130000,130000,
September 20% Development Economic Fund 2012,Social Sector,Others,"Completion of Guinobatan Evacuation Center, Bato (CF)","Completion of Guinobatan Evacuation Center, Bato (CF)",-300-4b,500000,500000,484627.15,15372.85,15372.85,
September 20% Development Economic Fund 2012,Social Sector,Others,"Completion of Taopon Multi-Purpose Hall, Panganiban (CF)","Completion of Taopon Multi-Purpose Hall, Panganiban (CF)",-300-4c,120000,120000,-,120000,120000,
September 20% Development Economic Fund 2012,Social Sector,Others,"Bagumbayan Multi-Purpose Hall (Phase III), Panganiban (CF)","Bagumbayan Multi-Purpose Hall (Phase III), Panganiban (CF)",-300-4d,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Social Sector,Others,"Rehabilitation or Conversion Of Bagsakan Center to convert to Day Care Center, Concepcion, Virac","Rehabilitation or Conversion Of Bagsakan Center to convert to Day Care Center, Concepcion, Virac",-300-4g,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Social Sector,Others,"Completion of Valencia Public Duplex Toilet at Purok 1 and 4, Virac","Completion of Valencia Public Duplex Toilet at Purok 1 and 4, Virac",-300-4h,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Social Sector,Others,"Renovation of Multi-Purpose Hall, San Roque, Virac","Renovation of Multi-Purpose Hall, San Roque, Virac",-300-4k,400000,400000,-,400000,400000,
September 20% Development Economic Fund 2012,Social Sector,Others,"Rehabilitation Of Barangay Plaza, Palta, Virac (CF)","Rehabilitation Of Barangay Plaza, Palta, Virac (CF)",-300-4L,300000,300000,285516.32,14483.68,14483.68,
September 20% Development Economic Fund 2012,Social Sector,Others,"Rehabilitation Of Cabcab Brgy Plaza, San Andres","Rehabilitation Of Cabcab Brgy Plaza, San Andres",-300-4q,300000,300000,-,300000,300000,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc",-300-4m,-,-,-,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Bagatabao Bagamanoc Footbridge,Construction of Bagatabao Bagamanoc Footbridge,-,57263.29,57263.29,57263.29,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Isidro, Bagamanoc Drainage System","Construction of San Isidro, Bagamanoc Drainage System",-,39554.56,39554.56,39554.56,-,-,
