psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
175205008,1,20,1,19,0,0,0,1
175205009,132,112,22,112,68,0,0,0
175205010,83,54,0,0,4,0,0,0
175205011,100,39,56,185,20,5,0,1
175205012,51,28,73,108,0,7,0,0
175205013,168,85,38,148,35,4,1,6
175205015,81,64,137,188,16,1,3,60
175205016,452,92,15,70,9,0,1,19
175205017,336,48,37,44,50,98,0,2
175205018,17,108,52,167,11,3,0,0
175205019,175,162,23,93,25,2,0,0
175205021,59,68,95,116,9,1,0,0
175205022,49,5,48,52,2,3,0,0
175205023,76,51,59,43,5,0,2,7
175205025,95,39,17,35,3,0,0,4
175205026,202,193,3,23,1,1,0,0
175205027,533,90,29,93,16,0,1,46
175205028,569,60,37,57,8,1,0,6
175205029,93,122,187,296,5,1,0,4
175205030,200,21,5,6,37,0,0,0
175205031,485,128,13,134,137,0,1,7
175205032,76,50,17,35,0,0,0,0
175205033,10,1,78,112,0,5,1,36
175205034,44,20,15,44,1,23,0,0
175205035,29,23,16,113,1,34,0,0
175205036,67,21,132,142,4,5,0,2
175205037,262,205,80,166,5,5,0,0
175205038,36,18,64,61,10,0,0,7
175205039,11,38,10,83,15,1,0,0
175205041,60,136,42,239,6,1,0,7
175205042,210,156,71,93,12,2,0,0
175205043,27,21,10,13,24,0,0,0
175205044,35,93,134,138,2,1,0,5
175205045,88,34,9,22,0,0,0,2
175205046,74,48,36,75,12,1,0,0
175205047,80,47,36,106,1,9,0,0
175205048,65,3,48,141,13,5,9,40
175205049,93,78,61,281,37,1,1,116
175205050,49,6,0,6,2,0,0,0
175205051,57,11,4,11,0,0,0,2
175205052,138,13,0,3,1,0,0,0
175205053,118,4,2,3,4,0,0,1
175205054,93,4,2,8,1,0,0,2
175205055,60,22,40,29,0,0,0,0
175205056,82,63,46,369,2,0,1,11
175205057,235,91,24,28,31,1,1,13
175205058,55,36,100,265,12,0,2,49
175205059,65,28,52,90,4,0,0,0
175205061,126,37,3,3,2,0,0,1
175205062,237,62,34,66,14,1,0,16
175205063,91,43,12,37,2,6,0,0
175205064,9,193,13,101,3,0,0,0
175205065,133,71,17,60,5,0,0,6
175205066,32,2,4,139,16,1,0,0
175205068,50,36,86,99,13,0,0,10
175206001,4,7,29,42,104,4,0,0
175206002,13,63,60,99,5,2,0,3
175206003,26,31,67,109,1,0,0,0
175206004,44,144,105,247,20,0,0,0
175206005,101,9,186,107,17,2,0,0
175206006,9,7,112,43,4,0,0,0
175206007,2,0,23,51,15,111,2,0
175206008,2,6,94,86,0,0,0,13
175206009,49,112,110,75,1,0,0,0
175206010,3,0,11,42,190,0,0,0
175206012,34,94,34,77,180,0,0,0
175206013,35,57,215,241,11,7,0,0
175206014,22,4,112,74,0,0,0,0
175206015,165,15,182,198,3,6,0,0
175206016,0,1,111,111,10,46,0,0
175206017,72,164,204,131,1,0,0,6
175206018,3,24,57,127,17,0,0,0
175206020,46,10,93,77,30,17,0,0
175206021,2,0,23,56,206,2,0,0
175206022,3,1,26,98,70,64,0,0
175206023,5,15,88,184,178,4,0,0
175206024,8,17,145,80,0,0,0,1
175206025,14,64,10,161,5,0,0,0
175206026,42,115,107,96,1,0,0,49
175206027,22,11,55,209,5,0,0,1
175206028,68,43,208,234,4,0,0,0
175206029,6,1,190,101,0,2,0,0
175207001,118,76,288,559,11,55,0,2
175207002,35,44,64,218,38,139,2,0
175207003,46,74,8,34,32,87,0,4
175207004,4,78,14,36,25,47,0,0
175207005,7,72,3,69,55,30,0,8
175207007,27,74,140,143,108,13,0,0
175207010,15,7,79,99,3,47,0,0
175207011,158,207,18,45,10,48,0,0
175207012,10,154,2,33,170,1015,10,2
175207013,52,158,38,104,118,45,0,18
175207014,10,22,16,59,165,18,0,7
175207016,21,92,18,30,127,12,0,3
175207017,18,86,31,99,75,13,0,4
175207018,18,10,132,100,42,1,0,0
175207019,16,21,143,127,81,5,0,1
175207020,51,43,91,322,31,136,5,1
175207021,4,61,15,43,6,52,0,1
175208001,41,132,58,122,4,3,0,22
175208002,2,3,29,23,9,1,1,1
175208003,3,6,119,31,1,0,0,0
175208004,20,10,113,23,0,12,0,0
175208005,17,41,231,76,146,12,0,0
175208006,42,6,102,100,5,0,0,0
175208007,4,22,206,80,114,2,0,0
175208008,45,20,121,157,21,5,0,0
175208010,161,94,135,261,3,1,0,0
175208011,22,241,2,2,31,63,0,1
175208012,39,2,40,122,1,0,0,1
175208013,3,17,63,77,7,5,1,1
175208014,2,71,25,81,0,9,0,0
175208015,20,250,23,36,26,12,0,0
175208016,28,45,82,184,94,26,0,0
175208017,9,8,282,186,43,2,0,2
175208018,22,2,47,41,17,1,0,0
175208019,35,8,46,133,16,0,0,1
175208020,38,69,21,21,3,31,0,0
175208021,35,19,189,57,34,2,0,2
175208022,7,25,104,115,2,0,0,0
175208023,4,220,5,3,4,45,0,0
175208024,2,12,15,98,7,0,0,0
175208025,18,1,30,76,6,1,0,0
175208026,54,19,133,71,43,13,0,7
175208027,54,122,39,31,0,0,0,3
