region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
IV-B (MIMAROPA),Oriental Mindoro,Pinamalayan,4,11,13,7,11,22,15,7,13,8,9,8,20,14,12,7,21,15,22,26,21,27,22,44,56,435,
IV-B (MIMAROPA),Oriental Mindoro,Pola,4,1,1,1,-,14,2,5,7,4,6,-,2,1,3,1,2,5,1,7,1,6,6,8,6,94,
IV-B (MIMAROPA),Oriental Mindoro,Puerto Galera,16,6,18,18,13,18,11,7,9,4,12,7,9,5,6,16,10,12,6,10,17,8,21,17,27,303,
IV-B (MIMAROPA),Oriental Mindoro,Roxas,7,9,6,9,5,7,9,2,3,4,1,3,8,6,8,17,5,4,7,2,8,15,20,18,15,198,
IV-B (MIMAROPA),Oriental Mindoro,San Teodoro,2,5,2,2,2,10,10,4,1,-,5,-,5,1,2,4,-,1,5,4,-,2,5,10,3,85,
IV-B (MIMAROPA),Oriental Mindoro,Socorro,1,3,1,1,1,10,2,2,4,2,4,2,14,4,2,4,4,7,4,4,9,13,14,16,32,160,
IV-B (MIMAROPA),Oriental Mindoro,Victoria,13,4,5,6,4,4,6,8,6,8,2,5,7,10,10,17,18,15,6,20,16,34,30,29,34,317,
IV-B (MIMAROPA),Oriental Mindoro,Not Reported,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
IV-B (MIMAROPA),Palawan,Aborlan,2,2,4,-,1,-,-,-,-,2,-,-,-,1,-,4,2,1,1,-,10,7,8,7,3,55,
IV-B (MIMAROPA),Palawan,Araceli,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,4,
IV-B (MIMAROPA),Palawan,Balabac,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,
IV-B (MIMAROPA),Palawan,Bataraza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,1,2,10,
IV-B (MIMAROPA),Palawan,Brooke`S Point,-,2,1,-,-,-,2,1,-,-,-,2,-,5,1,3,-,-,5,2,3,7,5,1,4,44,
IV-B (MIMAROPA),Palawan,Busuanga,1,-,-,2,-,1,2,-,1,1,-,1,-,-,3,-,1,-,-,1,1,2,-,2,2,21,
IV-B (MIMAROPA),Palawan,Coron,-,4,-,2,-,-,1,-,2,-,4,-,3,-,-,1,-,4,6,-,4,3,3,2,-,39,
IV-B (MIMAROPA),Palawan,Culion,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,4,8,
IV-B (MIMAROPA),Palawan,Cuyo,1,-,-,2,2,1,2,-,-,1,-,-,-,-,3,-,-,-,1,-,1,-,-,3,-,17,
IV-B (MIMAROPA),Palawan,Dumaran,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
IV-B (MIMAROPA),Palawan,El Nido (Bacuit),-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2,2,-,2,1,-,2,11,
IV-B (MIMAROPA),Palawan,Linapacan,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,
IV-B (MIMAROPA),Palawan,Magsaysay,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,4,
IV-B (MIMAROPA),Palawan,Narra,1,2,2,4,4,6,7,-,1,1,4,2,3,1,-,4,6,-,9,6,5,7,12,13,8,108,
IV-B (MIMAROPA),Palawan,Puerto Princesa City (Capital),13,12,22,17,24,28,28,17,40,30,33,33,28,40,44,48,67,49,82,58,52,75,82,96,92,1110,
IV-B (MIMAROPA),Palawan,Quezon,1,-,2,-,-,-,-,-,2,1,5,-,2,-,2,-,-,-,-,1,-,-,5,-,1,22,
IV-B (MIMAROPA),Palawan,Rizal (Marcos),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,1,-,-,-,-,-,1,7,
IV-B (MIMAROPA),Palawan,Roxas,-,-,1,1,3,1,-,-,8,1,-,1,-,2,1,1,2,2,6,-,1,1,1,-,1,34,
IV-B (MIMAROPA),Palawan,San Vicente,-,-,-,-,-,3,2,-,-,-,-,-,1,-,-,2,1,-,3,1,1,-,-,3,1,18,
IV-B (MIMAROPA),Palawan,Sofronio Espa nola,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,
IV-B (MIMAROPA),Palawan,Taytay,-,1,-,5,-,1,1,-,-,-,-,2,-,1,1,-,-,7, ,-,2,2,4,2,2,31,
IV-B (MIMAROPA),Romblon,Alcantara,2,4,3,3,1,2,-,1,-,1,1,1,-,-,1,-,-,-,-,4,2,-,1,2,-,29,
IV-B (MIMAROPA),Romblon,Banton,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,
IV-B (MIMAROPA),Romblon,Cajidiocan,-,-,3,2,1,2,1,5,1,-,-,1,-,3,-,1,-,2, ,2,-,-,-,1,-,25,
IV-B (MIMAROPA),Romblon,Calatrava,-,-,4,1,-,2,-,1,-,2,2,-,8,-,-,-,-,1,1,-,2,7,-,-,2,33,
IV-B (MIMAROPA),Romblon,Concepcion,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-, , ,-,1,1,-,-,-,5,
IV-B (MIMAROPA),Romblon,Corcuera,-,-,1,1,1,-,1,-,-,-,-,-,-,-,1,1,-,-,-,4,-,-,-,-,-,10,
IV-B (MIMAROPA),Romblon,Ferrol,-,-,1,3,2,2,-,1,3,3,-,1,4,-,-,1,1,1, ,1,1,-,5,-,2,32,
IV-B (MIMAROPA),Romblon,Looc,2,-,1,1,1,1,3,-,3,1,2,-,2,1,-,3,4,1, ,2,-,-,3,-,5,36,
IV-B (MIMAROPA),Romblon,Magdiwang,-,-,-,-,-,2,2,1,2,5,-,-,1,-,-,-,-,1,-,-,1,-,-,2,1,18,
IV-B (MIMAROPA),Romblon,Odiongan,10,16,2,3,7,12,1,6,6,4,1,2,26,19,19,7,11,15,23,16,21,19,18,21,11,296,
IV-B (MIMAROPA),Romblon,Romblon (Capital),3,3,5,2,3,6,6,2,10,9,1,2,2,2,9,3,4,6,2,2,8,15,5,8,11,129,
IV-B (MIMAROPA),Romblon,San Agustin,2,1,7,-,2,2,5,6,2,1,4,-,-,1,4,-,-,1,6,4,-,4,6,6,4,68,
IV-B (MIMAROPA),Romblon,San Andres,3,3,4,-,1,1,1,4,7,4,2,2,-,1,-,-,-,-,-,4,2,2,-,-,1,42,
IV-B (MIMAROPA),Romblon,San Fernando,5,-,2,1,4,4,6,3,1,10,1,1,6,1,2,5,2,1, ,-,4,1,-,1,-,61,
IV-B (MIMAROPA),Romblon,San Jose,-,1,1,-,-,1,-,-,2,-,1,-,-,-,-,1,-,-,1,2,-,-,-,1,2,13,
IV-B (MIMAROPA),Romblon,Santa Fe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-,4,
IV-B (MIMAROPA),Romblon,Santa Maria (Imelda),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,1,-,-,2,-,-,1,9,
IV-B (MIMAROPA),Romblon,Not Reported,1,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,
IV-B (MIMAROPA),MIMAROPA,MIMAROPA,227,211,249,179,230,313,281,247,282,221,227,197,291,275,281,295,340,395,378,412,402,544,641,682,702,8502,0.53
IX (Zamboanga Peninsula),Zamboanga Del Norte,Bacungan (Leon T. Postigo),-,-,-,-,-,-,1,-,-,-,1,-,1,-,2,1,1,4,6,4,3,6,8,4,13,55,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Baliguian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1, ,-,-,-,-,-,-,1,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Dapitan City,6,4,2,13,3,12,13,11,10,17,16,8,15,10,25,13,21,21,24,29,30,36,35,43,57,474,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Dipolog City (Capital),17,30,48,60,78,77,67,73,81,83,44,71,97,84,83,79,88,95,141,132,110,147,120,155,155,2215,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Godod,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,1,1,-,1,2,1,3,14,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Gutalac,-,-,1,-,3,1,-,-,-,1,2,1,-,1,2,4,8,2, ,2,6,-,2,2,2,40,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Jose Dalman (Ponot),-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,2,1,-,1,3,5,2,2,1,6,29,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Kalawit,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,1,-,-,-,-,1,1,-,1,-,9,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Katipunan,2,-,3,2,4,10,3,12,8,9,1,3,4,5,13,4,6,2,7,11,9,10,3,12,9,152,
IX (Zamboanga Peninsula),Zamboanga Del Norte,La Libertad,-,-,1,-,1,-,1,1,4,-,1,1,-,-,-,1,-,-,-,-,4,-,-,-,-,15,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Labason,5,1,4,1,1,8,4,8,15,7,13,5,8,11,7,11,3,3,8,7,5,11,8,4,11,169,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Liloy,3,2,11,7,9,2,1,5,9,3,1,3,4,6,4,-,6,3,6,2,6,9,11,5,12,130,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Manukan,4,1,1,1,4,7,7,4,12,4,1,2,1,6,8,14,1,8,10,12,8,8,11,7,12,154,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Mutia,-,-,-,-,-,1,4,-,-,-,-,1,-,-,-,-,-,1, ,2,1,5,3,-,2,20,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Pi nan (New Pi nan),-,-,-,-,1,1,1,-,5,-,4,5,2,2,-,-,7,-,6,5,1,6,3,3,5,57,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Polanco,-,-,1,-,3,4,4,4,6,5,3,3,1,9,1,5,6,11,11,13,8,12,13,13,10,146,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Pres. Manuel A. Roxas,1,-,-,-,8,-,-,-,2,2,-,1,1,-,2,5,8,4,3,5,3,6,-,6,7,64,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Rizal,1,-,1,1,6,8,2,3,7,2,3,4,2,1,1,5,3,1,10,5,5,1,7,10,3,92,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Salug,2,1,3,1,-,9,2,-,3,3,1,1,3,5,5,-,1,5,2,9,3,4,1,8,3,75,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sergio Osme na Sr.,-,-,-,-,2,-,-,1,-,-,1,-,2,-,-,-,1,2,1,2,5,2,3,1,3,26,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Siayan,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,2, ,-,1,3,-,1,2,11,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sibuco,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,4,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sibutad,-,2,4,-,-,-,1,-,-,1,4,-,3,1,6,-,-,-,1,2,-,2,3,2,1,33,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sindangan,6,2,5,3,4,7,6,6,7,7,3,8,5,8,9,6,6,7,15,25,43,25,16,31,34,294,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Siocon,14,-,2,-,-,6,-,-,-,1,-,1,1,-,6,2,2,1, ,-,1,-,6,7,13,63,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Tampilisan,1,-,1,-,-,-,-,1,1,-,-,1,1,-,1,-,2,3,1,7,5,1,4,7,7,44,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Not Reported,-,-,-,-,1,-,3,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,8,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Aurora,2,2,4,6,4,6,2,2,3,2,3,2,5,1,4,12,4,7,25,7,8,18,8,9,3,149,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Bayog,-,-,-,-,-,1,2,-,-,-,-,2,4,-,2,-,-,-,-,1,2,3,-,3,1,21,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dimataling,6,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,3,1,-,-,1,4,21,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dinas,-,1,-,-,-,-,-,1,3,-,1,1,-,-,-,-,-,-,-,-,-,-,2,-,-,9,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dumalinao,-,-,-,1,1,-,3,-,1,2,1,2,3,2,5,2,3,1,  ,6,-,5,9,2,3,52,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dumingag,1,-,1,1,-,3,5,4,-,5,3,2,1,-,-,1,6,6,7,1,5,6,8,4,13,83,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Guipos,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,2,-,-,1,1,1,-,-,2,13,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Josefina,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,3,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Kumalarang,-,-,-,3,-,-,-,-,-,-,-,-,-,1,1,1,-,1, ,5,3,1,1,3,-,20,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Labangan,-,-,2,2,2,-,2,3,1,2,-,1,-,-,3,4,3,2,8,2,4,9,3,4,1,58,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Lakewood,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-,-,1,-,-,-,-,1,-,-,2,8,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Lapuyan,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,7, ,-,-,3,-,-,-,13,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Mahayag,-,-,2,1,3,-,2,2,8,3,1,1,2,1,1,1,2,6,3,9,3,10,6,3,10,80,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Margosatubig,-,2,6,-,1,1,5,-,-,1,2,2,-,4,5,2,4,4,1,1,3,4,1,3,5,57,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Midsalip,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,-,1,1, ,5,3,1,-,1,2,18,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Molave,1,8,5,6,11,5,5,7,7,6,8,3,3,7,5,5,4,8,12,12,7,13,16,15,21,200,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Pagadian City (Capital),24,7,16,30,22,29,19,21,30,22,25,19,33,22,37,56,44,66,107,77,47,72,93,96,72,1086,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Pitogo,-,-,1,8,-,-,1,-,10,5,4,1,3,-,2,2,1,-,-,1,-,-,-,1,3,43,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Ramon Magsaysay (Liargo),5,-,-,-,2,1,2,-,2,1,2,2,2,-,1,3,1,-,3,5,1,2,2,8,2,47,
IX (Zamboanga Peninsula),Zamboanga Del Sur,San Miguel,-,-,-,-,1,1,-,-,1,-,1,1,2,-,1,1,-,2, ,-,-,2,2,2,1,18,
IX (Zamboanga Peninsula),Zamboanga Del Sur,San Pablo,-,12,-,-,1,-,1,2,1,-,-,-,-,1,-,-,-,-,1,1,4,6,2,-,4,36,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Sominot (Don Mariano Marcos),-,-,-,-,1,1,-,-,-,-,-,2,-,-,1,-,-,-,1,-,-,-,-,3,-,9,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tabina,-,-,-,-,-,-,7,-,-,-,-,-,-,1,2,2,1,2,7,4,2,3,-,1,1,33,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tambulig,-,-,-,-,1,2,2,-,-,1,1,2,2,-,3,1,-,3,3,3,5,8,3,5,2,47,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tigbao,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,3,1,1,-,-,1,8,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tukuran,-,2,-,2,1,4,2,2,2,4,2,2,7,4,2,4,2,-,4,1,6,4,1,7,7,72,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Vicenzo A. Sagun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,1,7,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Zamboanga City,90,100,112,102,121,157,221,83,113,143,74,123,138,163,259,237,306,276,524,327,273,258,204,330,341,5075,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Not Reported,-,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Alicia,-,-,-,-,3,-,-,-,-,-,-,1,1,1,-,2,1,6,7,2,2,5,-,1,8,40,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Buug,2,-,2,-,-,1,6,1,4,-,1,4,1,1,3,2,3,-,4,7,5,3,6,3,7,66,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Diplahan,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,1,-,4,2,-,-,1,1,4,3,20,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Imelda,-,-,-,-,-,-,-,1,-,8,-,1,1,-,-,3,2,1,2,-,1,2,3,-,-,25,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Ipil (Capital),9,1,2,1,3,-,5,1,4,9,-,3,3,6,3,1,5,6,13,14,10,27,10,11,24,171,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Kabasalan,-,-,1,2,-,-,2,-,5,2,-,1,1,-,2,4,-,3,7,2,2,2,4,4,2,46,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Mabuhay,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3, ,-,-,-,-,3,1,8,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Malangas,-,-,-,2,1,-,3,4,2,-,10,-,-,2,1,4,-,1,1,2,2,3,2,1,2,43,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Naga,-,-,1,-,3,5,-,-,1,-,1,1,-,2,-,-,3,3,1,2,2,-,-,3,2,30,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Olutanga,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,6,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Payao,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,4,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Roseller Lim,-,-,-,-,-,5,1,-,1,-,-,-,1,-,1,-,1,2, ,-,1,-,-,6,3,22,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Siay,1,-,-,-,-,4,1,-,4,-,1,1,-,-,1,-,3,1,2,-,4,2,6,10,24,65,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Talusan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,1,5,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Titay,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,5,2,6,4,1,5,-,3,27,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Tungawan,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,2,1,7,
V (Bicol Region),Albay,Bacacay,6,8,9,3,5,9,2,9,6,10,2,3,5,5,3,5,2,22,10,7,12,10,14,12,8,187,
V (Bicol Region),Albay,Camalig,8,7,8,9,3,21,10,5,2,5,2,17,17,7,13,5,12,8,16,15,6,8,7,14,7,232,
V (Bicol Region),Albay,Daraga (Locsin),32,20,30,36,37,32,35,26,38,39,22,15,26,47,42,27,47,51,80,37,29,54,44,70,56,972,
V (Bicol Region),Albay,Guinobatan,18,14,17,11,23,19,11,10,16,9,11,17,10,18,17,11,9,30,30,14,10,13,21,10,32,401,
V (Bicol Region),Albay,Jovellar,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,1, ,-,-,-,-,-,-,5,
V (Bicol Region),Albay,Legazpi City  (Capital),77,50,65,70,64,72,63,62,65,76,42,35,42,53,69,84,92,101,142,103,79,135,107,80,85,1913,
V (Bicol Region),Albay,Libon,5,5,2,4,9,2,4,7,6,3,5,3,1,5,3,2,15,3,11,13,3,11,4,9,5,140,
V (Bicol Region),Albay,Ligao,16,11,8,6,5,20,13,9,19,11,9,16,8,21,9,11,14,26,33,23,8,9,15,30,20,370,
V (Bicol Region),Albay,Malilipot,2,2,3,2,7,3,2,1,5,10,2,2,7,4,4,3,3,4,9,2,2,7,6,10,7,109,
V (Bicol Region),Albay,Malinao,3,-,-,1,2,4,7,1,10,4,2,1,2,4,4,2,7,2,4,1,6,5,3,3,6,84,
V (Bicol Region),Albay,Manito,-,-,1,2,-,1,-,1,-,-,1,-,-,2,1,-,-,-,1,1,-,2,1,4,-,18,
V (Bicol Region),Albay,Oas,16,13,21,7,10,9,16,10,11,19,4,12,10,10,9,11,11,11,5,14,4,14,15,22,15,299,
V (Bicol Region),Albay,Pio Duran,-,-,-,3,-,4,3,1,2,1,1,2,3,1,-,1,5,4,4,3,3,7,6,9,6,69,
V (Bicol Region),Albay,Polangui,12,5,13,18,11,24,8,11,13,11,7,7,8,10,17,15,13,23,25,20,26,26,27,28,10,388,
V (Bicol Region),Albay,Rapu-Rapu,1,-,-,2,-,1,-,-,-,1,-,1,-,2,-,-,-,-,2,1,-,-,-,-,4,15,
V (Bicol Region),Albay,Santo Domingo (Libog),4,3,2,7,3,6,9,8,3,4,4,1,7,4,4,4,3,4,9,10,7,5,8,11,2,132,
V (Bicol Region),Albay,Tabaco,6,17,13,28,23,17,10,18,32,32,29,13,24,31,16,27,27,32,31,29,25,35,21,61,37,634,
V (Bicol Region),Albay,Tiwi,4,1,11,-,3,11,7,5,4,3,2,3,4,7,9,6,11,5,6,9,5,14,9,12,7,158,
V (Bicol Region),Albay,Not Reported,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,
V (Bicol Region),Camarines Norte,Basud,3,-,3,2,1,3,1,4,1,3,4,5,7,11,14,5,19,3,20,21,21,21,15,10,11,208,
V (Bicol Region),Camarines Norte,Capalonga,4,-,-,-,1,1,4,5,2,-,-,7,16,15,14,4,15,8,12,23,14,5,10,22,4,186,
V (Bicol Region),Camarines Norte,Daet (Capital),29,19,36,48,45,34,57,27,45,43,34,25,38,37,44,41,50,38,55,70,97,57,66,72,91,1198,
V (Bicol Region),Camarines Norte,Jose Panganiban,1,4,7,8,14,11,7,7,8,5,1,11,15,3,6,6,9,6,6,7,11,2,8,3,2,168,
V (Bicol Region),Camarines Norte,Labo,4,11,7,19,8,1,7,5,14,6,8,7,5,10,3,7,16,14,15,15,7,15,21,17,15,257,
V (Bicol Region),Camarines Norte,Mercedes,-,1,4,4,3,1,5,5,-,-,2,6,2,2,4,4,5,-,3,3,4,9,1,8,12,88,
V (Bicol Region),Camarines Norte,Paracale,5,-,3,5,1,5,2,-,2,1,3,5,-,2,2,3,1,1,7,1,7,8,4,11,1,80,
V (Bicol Region),Camarines Norte,San Lorenzo Ruiz (Imelda),-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-,-,1,-,9,
V (Bicol Region),Camarines Norte,San Vicente,1,2,1,1,5,3,1,2,-,5,5,-,-,2,4,-,-,1,1,2,6,1,3,-,3,49,
V (Bicol Region),Camarines Norte,Santa Elena,-,3,-,-,-,1,-,1,2,6,1,1,-,1,2,1,2,-,8,-,2,11,1,6,3,52,
V (Bicol Region),Camarines Norte,Talisay,-,2,2,4,9,1,3,8,7,4,2,4,16,5,2,4,3,15,14,13,5,13,7,3,5,151,
V (Bicol Region),Camarines Norte,Vinzons,-,1,3,7,6,6,2,8,4,3,9,1,11,8,6,4,5,4,12,7,5,1,3,13,17,146,
V (Bicol Region),Camarines Sur,Baao,5,2,5,4,6,15,11,12,9,8,6,15,7,20,11,8,9,8,15,25,17,28,32,20,24,322,
V (Bicol Region),Camarines Sur,Balatan,6,2,1,-,4,1,2,1,3,2,-,2,2,-,2,2,1,3,2,1,1,-,-,-,5,43,
V (Bicol Region),Camarines Sur,Bato,19,16,11,11,6,11,4,8,9,10,5,6,5,7,16,9,9,9,10,9,1,4,16,18,15,244,
V (Bicol Region),Camarines Sur,Bombon,-,-,1,-,3,6,-,-,1,-,2,-,3,2,5,2,16,5,6,7,2,7,4,2,4,78,
V (Bicol Region),Camarines Sur,Buhi,1,9,8,18,15,15,7,6,15,15,3,22,8,18,11,9,9,13,7,29,15,33,16,29,20,351,
V (Bicol Region),Camarines Sur,Bula,1,-,5,5,4,5,6,2,1,6,8,6,4,1,1,5,-,5,4,8,18,12,16,13,4,140,
V (Bicol Region),Camarines Sur,Cabusao,2,3,1,2,1,4,2,1,-,-,-,-,-,-,1,1,3,2,2,1,1,-,2,7,1,37,
V (Bicol Region),Camarines Sur,Calabanga,7,13,16,7,9,19,23,9,10,11,1,11,26,11,20,11,19,19,29,21,15,22,28,33,16,406,
V (Bicol Region),Camarines Sur,Camaligan,8,3,6,4,12,3,5,4,1,1,3,3,2,12,4,8,5,16,10,8,8,15,11,18,10,180,
V (Bicol Region),Camarines Sur,Canaman,7,8,-,8,4,3,15,2,8,13,8,8,5,7,20,14,13,19,30,26,18,20,18,18,27,319,
V (Bicol Region),Camarines Sur,Caramoan,1,1,5,9,1,3,4,-,2,1,5,3,3,1,3,-,1,-,-,6,4,1,-,6,3,63,
V (Bicol Region),Camarines Sur,Del Gallego,-,-,-,-,1,2,2,2,1,-,-,2,-,2,1,-,-,-,1,3,2,4,-,-,3,26,
V (Bicol Region),Camarines Sur,Gainza,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,2,-,-,-,-,3,-,8,
V (Bicol Region),Camarines Sur,Garchitorena,-,-,1,-,-,-,3,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,1,1,9,
V (Bicol Region),Camarines Sur,Goa,5,6,15,5,2,15,10,11,7,7,4,4,10,7,11,12,7,9,4,24,11,16,18,8,15,243,
V (Bicol Region),Camarines Sur,Iriga City,60,31,39,79,68,55,83,37,47,34,36,43,62,55,76,46,55,58,94,82,49,61,64,61,86,1461,
V (Bicol Region),Camarines Sur,Lagonoy,11,1,11,3,6,5,4,1,1,6,2,-,7,-,3,13,4,6,6,7,5,3,7,11,11,134,
V (Bicol Region),Camarines Sur,Libmanan,10,5,13,13,20,8,11,15,5,8,8,8,2,13,5,6,11,9,21,15,7,20,10,16,23,282,
V (Bicol Region),Camarines Sur,Lupi,1,-,1,-,-,2,-,1,1,2,-,-,1,2,-,1,2,-,2,4,8,8,2,1,3,42,
V (Bicol Region),Camarines Sur,Magarao,7,10,2,10,1,3,3,3,10,3,-,7,8,2,4,5,3,9,13,7,9,10,5,14,13,161,
