particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
          Office of the Secretary,"1,216,621",0,"26,615",0,0,"51,069",0,"1,041",0,"148,605","9,593",0,"12,456",0,"7,485",0,0,"20,139","143,182",0,0,"375,428",0,"2,012,234"
          Agricultural Credit Policy Council,"8,971",0,0,0,0,0,0,0,0,"1,000",48,0,30,0,14,0,43,"1,525",931,0,0,"1,623",0,"14,185"
          Bureau of Fisheries and Aquatic Resources,"205,547",0,"4,289",0,0,"5,366",0,0,0,"24,581","1,659",0,"2,015",0,"1,604",0,0,"3,787","24,562",0,0,"59,073",0,"332,483"
          Bureau of Post-Harvest Research and Extension,"28,343",0,0,0,0,0,0,0,0,"3,389",186,0,340,0,177,0,0,"3,029","3,124",0,0,"5,946",0,"44,534"
          Cotton Development Administration,"24,427",0,0,0,0,"1,710",0,0,0,"2,940",161,0,296,0,156,0,0,"1,307","2,784",0,0,"5,089",0,"38,870"
          Fertilizer and Pesticide Authority,"15,734",0,125,0,0,495,0,0,0,"1,874",105,0,189,0,98,0,0,630,"1,821",0,0,"4,664",0,"25,735"
          Fiber Industry Development Authority,"87,528",0,734,0,0,"2,077",0,674,0,"10,481",676,0,621,0,640,0,0,"1,268","10,084",0,0,"20,617",0,"135,400"
          Livestock Development Council,"5,449",0,341,0,0,636,0,0,0,566,35,0,57,0,10,0,0,374,561,0,0,"1,313",0,"9,342"
          National Agricultural and Fishery Council,"22,788",0,"1,815",0,0,0,0,0,0,"2,916",168,0,263,0,160,0,0,286,"2,805",0,0,"7,959",0,"39,160"
          National Meat Inspection Service,"3,796",0,0,0,0,0,0,0,0,459,24,0,42,0,23,0,0,240,378,0,0,"1,997",0,"6,959"
          Philippine Carabao Center,"13,334",0,0,0,0,0,0,0,0,"1,591",104,0,160,0,88,0,0,453,"5,036",0,0,"3,053",0,"23,819"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"177,982",0,"7,316",0,0,"1,356",0,"1,630",0,"1,177,828","1,087",0,"86,052",0,"1,059",0,0,"13,830","20,143",0,0,"61,529",0,"1,549,812"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"177,982",0,"7,316",0,0,"1,356",0,"1,630",0,"1,177,828","1,087",0,"86,052",0,"1,059",0,0,"13,830","20,143",0,0,"61,529",0,"1,549,812"
