particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
               Bukidnon State College,               Bukidnon State College,60302,15041,3012,0,0,0,4817,0,0,55485,15041,3012,0,0,0,0,0,0,0
               Camiguin Polytechnic State College,               Camiguin Polytechnic State College,21022,3951,3012,0,0,0,1711,0,0,19311,3951,3012,0,0,0,0,0,0,0
               Central Mindanao University,               Central Mindanao University,197052,36407,3012,0,0,0,15769,0,0,181283,36407,3012,0,0,0,0,0,0,0
               Mindanao Polytechnic State College,               Mindanao Polytechnic State College,80721,15854,3012,0,0,0,6552,0,0,74169,15854,3012,0,0,0,0,0,0,0
               MSU-Iligan Institute of Technology,               MSU-Iligan Institute of Technology,312090,64611,3012,0,0,0,26494,0,0,285596,64611,3012,0,0,0,0,0,0,0
               Misamis Oriental State College of,               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,24322,5013,3012,0,0,0,1835,0,0,22487,5013,3012,0,0,0,0,0,0,0
               Northwestern Mindanao State College,               Northwestern Mindanao State College,,,,,,,,,,,,,,,,,,,
                     of Science and Technology,                     of Science and Technology,13019,2169,3012,0,0,0,1061,0,0,11958,2169,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region XI - SOUTHEASTERN MINDANAO,          Region XI - SOUTHEASTERN MINDANAO,231009,44561,12048,0,0,0,19186,0,0,211823,44561,12048,0,0,0,0,0,0,1
               Davao del Norte State College,               Davao del Norte State College,29648,4596,3012,0,0,0,2422,0,0,27226,4596,3012,0,0,0,0,0,0,0
               Davao Oriental State College of,               Davao Oriental State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,36259,6652,3012,0,0,0,2968,0,0,33291,6652,3012,0,0,0,0,0,0,0
               Southern Philippines Agri-Business,               Southern Philippines Agri-Business,,,,,,,,,,,,,,,,,,,
                     and Marine and Aquatic School,                     and Marine and Aquatic School,,,,,,,,,,,,,,,,,,,
                     of Technology,                     of Technology,29231,3617,3012,0,0,0,2388,0,0,26843,3617,3012,0,0,0,0,0,0,0
               University of Southeastern Philippines,               University of Southeastern Philippines,135871,29696,3012,0,0,0,11408,0,0,124463,29696,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region XII - CENTRAL MINDANAO,          Region XII - CENTRAL MINDANAO,1594811,138230,26125,0,0,0,132131,0,0,1462680,138230,26125,0,0,0,0,0,0,1
               Adiong Memorial Polytechnic State College,               Adiong Memorial Polytechnic State College,10949,2786,3012,0,0,0,884,0,0,10065,2786,3012,0,0,0,0,0,0,0
               Cotabato City State Polytechnic College,               Cotabato City State Polytechnic College,59230,8593,3012,0,0,0,4856,0,0,54374,8593,3012,0,0,0,0,0,0,0
               Cotabato Foundation College of,               Cotabato Foundation College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,54504,11614,3012,0,0,0,4430,0,0,50074,11614,3012,0,0,0,0,0,0,0
               Mindanao State University,               Mindanao State University,1190791,80378,11065,0,0,0,98652,0,0,1092139,80378,11065,0,0,0,0,0,0,0
               Sultan Kudarat Polytechnic State College,               Sultan Kudarat Polytechnic State College,71081,8489,3012,0,0,0,5904,0,0,65177,8489,3012,0,0,0,0,0,0,0
               University of Southern Mindanao,               University of Southern Mindanao,208256,26370,3012,0,0,0,17405,0,0,190851,26370,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Caraga Administrative Region,          Caraga Administrative Region,231923,31107,12132,0,0,0,18793,0,0,213130,31107,12132,0,0,0,0,0,0,1
               Agusan del Sur State College of,               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,21655,4154,3033,0,0,0,1771,0,0,19884,4154,3033,0,0,0,0,0,0,0
               Northern Mindanao State Institute,               Northern Mindanao State Institute,,,,,,,,,,,,,,,,,,,
