city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Valencia City,City Vice-Mayor,"Huervas, Azucena Panes",Sunny,Bangon Pilipinas Party,30506
Valencia City,Councilor,"Lavi, Rolando Parre",Nonoy,Bangon Pilipinas Party,29512
Valencia City,Councilor,"Garcia, Oliver Owen Leanillo",Babba,Bangon Pilipinas Party,29333
Valencia City,Councilor,"Rosal, Rodrigo Alcular",Dodong,Bangon Pilipinas Party,28107
Valencia City,Councilor,"Galario, Glen Galido",Aboy,Independent,27056
Valencia City,Councilor,"Quillo, John Lee Bangis",Jhon,Independent,26017
Valencia City,Councilor,"Bernal, Helen Tigtig",Bernal,Independent,25885
Valencia City,Councilor,"Pepito, Camilo Eduave",Milo,Bangon Pilipinas Party,25573
Valencia City,Councilor,"Chan, Eduardo Daguplo",Toto,Bangon Pilipinas Party,25517
Valencia City,Councilor,"Murillo, Policarpo Iv Pondoc",Doc Pol,Nationalista Party,24864
Valencia City,Councilor,"Centillas, Rolando Jr. Del Campo",Lando,Independent,22181
