region,province,city_or_municipality,2012
IV-B (MIMAROPA),Oriental Mindoro,Baco,0
IV-B (MIMAROPA),Oriental Mindoro,Bansud,2
IV-B (MIMAROPA),Oriental Mindoro,Bongabong,1
IV-B (MIMAROPA),Oriental Mindoro,Bulalacao (San Pedro),2
IV-B (MIMAROPA),Oriental Mindoro,City of Calapan (Capital),1
IV-B (MIMAROPA),Oriental Mindoro,Gloria,1
IV-B (MIMAROPA),Oriental Mindoro,Mansalay,1
IV-B (MIMAROPA),Oriental Mindoro,Naujan,3
IV-B (MIMAROPA),Oriental Mindoro,Pinamalayan,1
IV-B (MIMAROPA),Oriental Mindoro,Pola,0
IV-B (MIMAROPA),Oriental Mindoro,Puerto Galera,1
